gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group
1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,2,148,77,1,0
1,0,1,0,1,2,0,2,2,2,2,2,2,2,1,1,1097,5982,0,6
0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,3,621,2609,1,1
0,1,1,0,1,2,1,2,2,2,2,0,0,2,1,1,1214,6125,0,5
1,1,1,0,1,0,1,0,0,2,0,2,2,0,1,1,1197,787,0,0
0,0,1,1,1,0,0,2,2,2,2,0,0,1,0,3,649,3609,0,2
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,33,26,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,310,151,0,0
0,0,1,1,1,2,1,2,2,0,2,2,0,2,0,0,1278,6274,0,6
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,708,1182,1,0
0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,802,4663,0,3
1,0,0,0,1,2,1,0,2,2,0,2,2,0,1,2,1401,4664,1,2
0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,0,1238,2625,1,0
1,0,1,1,1,0,0,0,2,0,0,0,0,1,0,3,367,1556,0,0
0,0,1,1,1,2,0,2,2,0,0,2,0,2,1,1,698,5330,0,5
0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,44,1426,0,1
0,0,0,0,1,2,0,2,2,2,2,2,0,2,1,1,896,5320,0,5
0,0,1,0,1,2,0,2,2,0,2,2,0,0,1,2,830,2440,0,1
0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,984,4843,0,4
1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,361,499,0,0
0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,912,646,1,0
1,0,0,0,1,2,0,2,0,0,2,2,2,2,1,1,894,5010,0,4
0,0,1,1,1,2,0,2,0,2,2,0,0,2,1,1,610,5025,0,5
0,1,0,0,1,2,1,0,2,0,0,2,0,0,1,2,1097,4803,0,3
0,0,0,0,1,0,1,2,2,0,0,2,2,0,1,1,1262,3118,1,1
0,1,1,0,1,2,0,2,0,0,2,2,0,0,1,1,704,3476,0,2
0,1,1,0,1,2,1,0,2,0,0,0,0,0,1,1,912,1851,1,0
0,1,1,1,1,0,0,2,2,2,2,0,2,1,1,1,803,5122,0,5
1,1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1196,3475,1,1
0,0,1,1,1,2,1,2,0,0,0,2,2,1,1,1,1273,5959,0,5
1,1,1,1,1,2,1,0,2,2,2,2,2,1,1,2,1439,6226,0,5
0,0,1,1,1,2,2,1,1,1,1,1,1,2,0,1,91,2300,0,2
0,0,0,0,1,2,1,0,0,2,2,2,2,2,1,1,1422,6416,0,6
0,0,1,0,1,2,1,0,0,2,0,2,2,0,1,2,1290,5242,0,3
1,0,0,0,1,2,1,0,2,0,0,2,0,0,1,0,1090,5584,0,5
1,0,1,0,0,1,0,2,2,2,0,0,0,2,0,0,265,4323,0,6
0,0,1,1,1,0,0,0,0,2,2,0,0,1,1,1,446,2406,0,1
0,0,0,0,1,2,1,0,0,0,0,2,2,0,0,2,1175,2242,1,0
0,0,0,0,1,0,0,0,2,0,2,2,2,0,1,2,812,983,0,0
1,0,1,0,1,2,1,0,2,0,0,0,0,1,1,2,877,4717,0,3
0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,3,883,4054,0,2
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,32,2361,0,4
1,0,0,0,1,0,1,2,0,2,0,0,0,0,1,3,896,2286,0,0
1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,357,178,0,0
0,0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,37,2606,0,4
1,1,1,1,1,2,1,2,0,2,2,2,2,2,1,0,1497,6231,0,5
1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,77,3114,0,5
0,0,0,1,1,0,0,2,0,0,2,0,2,0,1,0,617,772,0,0
0,1,0,0,1,2,1,2,2,2,0,2,2,1,0,2,1477,5895,0,4
0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,471,4180,0,3
0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,3,451,1567,0,0
1,1,0,0,1,0,0,2,2,0,0,2,2,0,1,2,801,3794,0,2
0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,110,2788,0,3
0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,886,383,1,0
0,0,1,1,0,1,0,2,0,0,0,2,2,0,0,2,387,1733,0,0
0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,809,1597,1,0
0,0,0,0,1,0,1,0,2,2,2,2,2,0,1,0,1350,5069,0,3
0,0,1,0,1,0,2,1,1,1,1,1,1,2,1,0,32,2430,0,4
1,0,0,0,1,2,1,0,2,0,0,2,2,0,1,1,1266,2338,0,0
0,0,1,0,1,0,0,2,0,0,0,2,0,1,1,0,582,3868,0,2
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,42,2553,0,4
0,0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,28,2350,0,3
1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,3,173,2476,0,2
1,0,1,1,1,0,1,0,2,2,0,0,0,0,0,0,940,4103,0,2
1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,800,344,0,0
1,0,1,1,1,2,0,2,0,2,2,2,2,2,1,3,974,5705,0,5
0,0,0,0,1,2,1,2,2,2,0,2,2,0,1,1,1486,6234,0,5
1,0,0,0,1,2,1,0,2,2,0,2,2,2,1,0,1298,6326,0,6
0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,878,2352,1,1
1,0,1,1,1,2,0,2,2,0,2,0,0,1,1,1,661,5266,0,5
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,50,557,1,0
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,0,49,2626,0,4
0,1,1,0,1,0,1,0,2,2,0,2,2,0,1,2,1251,4066,1,2
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,33,26,0,0
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,18,11,0,0
1,0,0,0,1,2,1,0,0,2,2,2,0,1,0,0,1187,4691,0,3
0,1,1,0,0,1,0,0,2,2,0,2,0,1,0,0,316,4371,0,5
1,0,1,0,1,2,1,0,2,2,2,2,2,2,1,0,1468,6366,1,5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,78,508,0,0
0,0,1,1,1,2,1,2,2,0,0,2,2,1,1,2,1357,6288,0,6
0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,147,2353,0,2
1,0,0,0,1,2,1,0,0,0,0,2,2,1,0,3,1174,4850,0,3
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,17,3009,0,6
1,0,1,0,1,2,1,2,2,0,0,2,0,0,1,2,1221,5501,1,4
0,0,0,0,1,0,0,2,0,2,2,0,0,1,0,1,507,4380,0,4
0,0,0,0,1,0,1,0,2,2,0,2,0,0,1,2,1125,4867,0,3
0,1,1,0,1,2,1,0,0,0,0,0,0,0,1,2,836,4272,1,3
0,0,1,1,0,1,0,0,2,0,2,2,2,2,1,2,450,4591,0,5
1,0,1,1,1,0,1,2,2,0,0,2,0,0,0,2,1089,998,0,0
0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,161,2658,0,3
0,0,1,1,1,2,1,2,0,0,0,2,2,0,1,2,1285,2564,1,0
0,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,42,2205,0,3
1,0,1,1,1,2,1,0,2,0,2,0,0,0,1,1,998,3812,0,2
0,0,1,1,1,2,1,0,0,2,0,2,2,1,1,1,1276,5612,0,4
0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,43,552,0,0
1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,794,938,1,0
0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,390,1275,0,0
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,46,262,0,0
1,0,0,0,1,0,1,2,0,0,2,2,0,2,1,2,1071,4373,0,2
0,1,0,0,1,2,1,0,0,2,0,0,0,0,1,2,860,3804,1,2
1,0,1,0,1,2,2,1,1,1,1,1,1,2,1,0,64,3438,0,6
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,24,17,0,0
1,1,0,0,0,1,0,2,2,0,0,2,2,1,1,2,487,4886,0,5
0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,1013,2785,0,1
0,0,1,1,0,1,0,2,2,2,0,2,2,0,1,1,516,3210,1,2
1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,387,4509,0,5
1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,198,95,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,292,408,1,0
0,0,0,0,1,2,2,1,1,1,1,1,1,2,1,1,106,2744,0,3
0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,806,3502,0,1
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,33,2888,0,5
1,0,0,1,1,0,2,1,1,1,1,1,1,2,1,3,21,2719,0,4
0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,723,305,1,0
0,1,1,1,1,2,0,2,2,2,2,2,2,2,1,1,1053,6008,0,6
0,0,0,0,1,2,0,2,0,0,2,0,2,0,0,2,737,1729,1,0
0,0,1,0,1,2,1,0,2,0,0,2,2,2,1,0,1301,5825,0,5
1,0,0,0,1,2,1,2,2,0,0,0,0,1,1,1,980,5518,0,5
1,1,1,0,1,2,2,1,1,1,1,1,1,2,0,0,71,3479,0,5
0,0,1,1,1,2,1,2,2,0,2,2,0,2,1,1,1261,6003,0,5
1,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,21,255,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,318,157,1,0
1,0,0,1,1,0,0,0,2,2,0,2,0,1,0,1,617,3656,0,2
1,0,1,1,1,0,0,0,2,2,2,0,2,0,1,3,704,2577,0,1
0,0,1,1,1,0,0,0,0,0,2,2,2,0,1,2,685,1730,0,0
1,0,0,0,1,2,1,0,0,0,0,2,2,0,0,3,1187,1888,1,0
0,0,1,1,1,2,1,2,2,2,0,2,2,1,1,1,1433,6435,0,5
1,0,1,1,1,0,0,2,2,2,2,2,2,2,0,2,1016,5485,0,5
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,23,555,0,0
0,0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,917,2697,0,1
0,0,0,0,1,2,1,0,0,0,0,2,0,0,1,0,977,3556,0,1
1,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,32,1433,0,1
1,0,1,1,1,0,0,2,0,2,0,2,0,2,0,3,612,2501,0,1
1,0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,106,1007,0,0
0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,2,478,2077,0,1
0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,2,945,3307,1,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,708,616,0,0
1,0,0,0,1,2,0,0,2,2,2,0,2,2,1,0,784,4870,0,4
0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,41,951,0,0
1,0,1,0,1,0,2,1,1,1,1,1,1,2,0,3,27,3010,0,5
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,732,1072,1,0
1,0,1,0,1,2,0,2,2,2,2,2,2,2,1,0,1073,5937,0,6
1,1,1,0,0,1,0,0,2,2,0,0,2,0,1,2,311,4152,1,4
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,37,1195,0,1
1,0,1,0,1,0,1,2,0,2,2,0,0,1,1,0,979,4655,0,3
0,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,1362,980,1,0
1,0,1,0,1,0,0,0,2,2,2,2,2,2,0,3,938,2735,0,1
0,0,1,0,1,0,1,0,0,2,0,2,2,1,1,0,1184,5402,1,4
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,40,1885,0,2
0,0,1,0,1,2,2,1,1,1,1,1,1,0,0,2,86,2105,0,2
0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,3,795,2686,1,1
0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,835,1611,1,0
0,0,1,1,1,2,1,0,2,2,0,2,2,0,1,0,1381,3277,0,1
1,0,1,0,1,0,2,1,1,1,1,1,1,1,1,1,40,2839,0,5
0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,144,76,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,311,152,0,0
1,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,984,1901,1,0
1,0,1,1,1,0,0,2,0,2,0,2,2,1,0,1,801,4027,0,2
0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,2,884,2636,1,1
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,88,55,1,0
1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,412,2498,0,1
1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,152,411,0,0
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,2,22,987,0,1
0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,1,490,3973,0,3
1,0,1,1,1,2,0,2,0,0,2,0,2,1,1,1,751,4459,0,3
1,0,1,0,1,0,1,0,2,2,0,0,2,0,1,2,1112,1665,1,0
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,24,3024,0,5
0,0,1,1,1,2,1,2,2,2,0,2,2,2,0,1,1462,6476,0,6
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,15,2752,0,4
0,0,1,0,1,0,1,2,2,0,2,2,0,0,1,2,1217,3633,0,1
1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,74,1774,0,2
1,0,0,0,1,2,1,0,2,2,2,2,2,0,1,2,1492,6040,0,4
1,0,1,1,1,2,1,0,2,2,2,2,2,2,1,0,1505,6459,0,6
1,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,44,37,0,0
0,0,1,0,1,0,1,2,0,0,2,2,2,1,1,1,1316,4174,0,2
0,0,0,0,1,0,1,0,2,0,2,0,0,0,1,1,900,2638,0,1
1,0,1,1,1,2,1,2,0,2,0,2,2,2,0,2,1385,6316,0,5
1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,1,865,2521,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,691,4319,0,3
0,0,0,0,1,0,1,0,2,0,2,0,0,1,1,0,898,4177,0,2
1,0,1,1,0,1,0,2,2,2,2,0,2,2,1,1,467,4995,0,6
1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,897,391,1,0
0,0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,1406,3661,1,1
1,0,1,0,1,0,1,0,2,2,2,2,2,1,1,1,1325,6085,0,5
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,325,422,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,97,62,0,0
1,0,0,1,1,0,2,1,1,1,1,1,1,2,0,3,24,2655,0,5
0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,2,29,1684,0,2
1,1,1,0,1,2,1,0,0,0,0,0,2,0,0,2,1030,3692,0,1
0,0,1,0,0,1,0,2,2,2,0,2,2,0,1,0,519,4597,0,4
1,0,1,1,0,1,0,2,2,2,2,0,0,2,0,1,310,4438,0,6
1,0,1,0,0,1,0,2,2,2,2,2,0,2,1,0,490,4780,0,5
1,0,1,1,1,2,0,0,2,2,2,2,2,2,1,0,978,5536,0,5
0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,899,1839,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,717,1057,1,0
0,0,1,0,1,2,2,1,1,1,1,1,1,2,0,0,87,3566,0,5
1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,33,26,0,0
1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,377,779,1,0
0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,0,16,894,0,1
1,0,0,0,0,1,0,2,0,0,0,2,2,1,1,3,388,2902,0,2
0,0,1,1,1,0,0,2,0,2,2,2,2,1,1,3,922,4083,0,2
0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,462,224,1,0
1,0,0,0,1,2,1,0,0,0,2,0,2,0,1,1,1090,4193,0,2
0,0,1,1,1,2,0,2,2,0,2,2,2,2,1,1,1000,4947,0,3
1,0,0,0,1,2,1,2,2,0,2,2,2,2,1,1,1430,5731,0,4
1,0,0,0,1,0,1,2,2,0,2,0,2,0,1,1,1157,5263,0,4
1,0,0,0,1,0,1,2,0,0,0,0,2,0,1,3,986,423,1,0
0,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,34,3287,0,6
0,0,0,0,1,2,2,1,1,1,1,1,1,0,0,2,95,1976,0,2
1,0,0,0,1,2,0,0,2,0,0,0,0,0,1,3,446,559,1,0
0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,3,137,1134,0,0
1,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,770,2928,0,1
0,1,0,0,1,0,1,0,2,0,0,2,2,0,1,2,1187,2649,1,0
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,24,1098,0,1
0,0,0,0,1,2,0,0,2,2,2,2,2,2,0,0,1026,5975,0,6
1,0,0,0,1,2,1,0,2,2,2,2,2,2,0,0,1453,6423,0,6
0,0,1,1,1,0,0,2,0,0,2,2,2,1,1,1,800,4469,0,3
0,1,1,0,1,0,1,2,2,2,0,0,2,0,0,2,1175,5887,0,5
0,1,0,0,1,0,0,0,2,2,0,0,0,0,1,2,454,2021,0,1
1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,2,813,1075,0,0
1,0,0,0,1,2,0,0,0,2,0,0,2,1,0,3,627,4073,0,3
1,1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,794,2582,1,1
1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,347,173,1,0
1,0,0,0,1,2,1,2,2,2,0,0,2,1,1,2,1260,5048,0,3
0,0,1,0,1,0,1,2,2,2,0,2,0,1,1,2,1157,5203,0,4
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,722,660,1,0
1,1,1,0,0,1,0,0,2,0,0,2,0,0,0,2,246,116,1,0
1,0,0,1,1,2,0,0,2,2,2,2,2,1,0,1,968,4140,0,2
1,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,26,821,0,0
0,0,1,1,0,1,0,0,2,2,2,2,2,2,1,2,533,4946,0,5
0,0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,1546,6206,0,5
1,0,0,0,1,2,1,2,2,2,2,2,2,1,0,1,1533,5745,0,4
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,297,401,1,0
0,1,1,0,0,1,0,2,0,2,0,0,2,0,1,2,305,2804,0,2
1,1,0,0,0,1,0,0,0,2,0,0,2,0,1,2,260,606,1,0
1,1,0,0,1,2,1,0,2,2,0,2,2,0,1,2,1412,3011,1,1
1,1,1,0,1,2,1,0,2,0,0,0,2,0,1,2,1089,5369,0,4
0,0,0,0,0,1,0,2,2,0,2,0,2,2,1,0,373,3231,0,2
0,0,1,0,1,2,1,2,2,2,2,2,2,1,0,3,1519,5419,0,3
0,0,1,1,1,2,0,2,2,2,2,2,2,2,0,3,1054,5615,0,5
1,0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,90,2756,0,4
0,1,0,0,1,0,1,2,2,0,2,2,2,0,1,3,1374,3715,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,16,2621,1,4
0,0,1,0,1,2,2,1,1,1,1,1,1,2,1,1,77,3449,0,5
0,1,0,0,1,0,1,0,0,0,2,2,2,0,1,2,1176,3224,1,1
1,0,1,0,1,0,0,2,2,0,2,0,0,2,1,2,537,4604,0,4
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,55,1,0
1,1,1,0,1,2,1,0,2,0,2,2,2,0,0,2,1415,3825,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,726,308,1,0
1,0,1,0,1,2,1,0,2,0,2,0,0,0,1,2,1002,1378,1,0
0,0,1,0,1,2,1,0,2,2,0,2,2,0,1,2,1375,5667,1,4
1,1,1,0,1,0,0,2,2,0,0,0,2,0,1,0,626,2977,0,1
1,0,0,0,0,1,0,0,0,2,2,2,2,0,1,2,458,2090,0,1
0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,387,986,0,0
0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,3,461,1201,0,0
0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,400,1602,0,0
0,0,0,1,1,2,2,1,1,1,1,1,1,0,0,3,100,65,0,0
0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,3,447,4732,0,5
1,0,1,1,1,0,1,0,0,2,0,2,2,0,0,3,1190,3504,1,1
0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1,826,3509,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,292,2351,0,1
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,714,296,1,0
1,1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,796,1808,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,302,1463,1,0
1,1,0,0,1,2,1,0,0,0,0,0,0,0,1,2,828,3425,1,2
1,0,0,0,1,0,0,2,2,2,0,0,0,1,0,3,566,3729,0,2
1,0,1,1,1,0,1,0,2,2,2,0,0,1,0,3,1030,3667,0,1
0,1,0,0,1,0,1,0,0,0,0,2,2,0,1,2,1079,1738,0,0
0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,23,898,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,34,27,0,0
0,0,1,1,1,0,1,0,0,2,0,0,0,2,0,2,827,5574,0,5
1,1,1,0,1,2,1,0,0,2,0,2,2,0,1,2,1296,4598,0,2
1,0,1,1,1,2,0,0,0,2,0,2,2,0,1,2,797,4358,0,3
0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,778,332,1,0
1,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,625,3220,0,1
0,1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1196,1369,1,0
1,0,0,0,1,0,1,0,0,2,2,0,2,0,1,2,1100,1286,0,0
0,0,1,1,0,1,0,0,2,2,2,2,2,2,0,1,548,4950,0,5
1,0,0,1,1,2,1,0,2,0,0,0,0,0,1,3,936,4439,0,3
1,0,1,1,1,2,2,1,1,1,1,1,1,2,0,3,88,2805,0,4
1,1,1,0,1,2,1,0,0,0,0,0,0,0,1,2,804,3927,1,2
1,0,1,1,1,0,0,0,0,2,2,2,2,2,0,3,817,3753,0,2
1,1,1,1,1,2,1,0,2,0,0,2,2,0,0,2,1303,4755,0,3
1,0,0,1,1,2,0,2,0,2,0,2,2,1,1,1,874,4729,0,4
0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,14,8,0,0
0,0,0,0,1,0,1,2,0,0,2,0,2,0,1,2,1073,3618,0,1
0,0,0,0,1,2,1,2,2,2,2,2,2,2,0,1,1545,5343,0,3
0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2,701,1253,0,0
1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,911,1415,1,0
1,0,1,1,1,2,1,2,2,0,2,2,2,1,0,1,1469,5692,0,4
1,0,0,0,1,0,2,1,1,1,1,1,1,2,1,1,27,2996,0,5
0,0,1,1,1,0,0,2,2,0,2,2,2,1,0,1,905,4393,1,3
1,1,1,0,1,0,1,0,0,2,0,2,2,0,1,2,1150,3876,1,2
1,0,1,0,1,2,1,0,0,0,2,2,0,0,1,1,1122,4494,0,2
0,1,0,0,1,2,0,2,2,0,2,2,2,1,0,0,946,5077,1,4
0,0,1,1,0,1,0,0,2,2,2,2,2,2,1,2,542,5031,0,6
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,301,143,0,0
0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,3,348,1436,0,0
1,0,0,0,0,1,0,2,2,0,2,2,2,2,1,0,543,4992,0,5
0,0,1,0,1,2,1,0,2,0,2,2,2,0,1,1,1330,5461,0,4
0,1,1,0,1,0,1,0,0,0,2,2,0,0,1,2,953,2280,0,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,721,626,1,0
0,1,1,1,0,1,0,0,0,0,0,2,0,0,1,2,206,2433,0,2
0,1,0,0,1,2,1,0,0,2,0,0,0,0,1,1,949,3175,0,1
0,0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,26,2032,0,2
0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,3,13,719,0,0
1,0,0,0,1,2,1,0,2,2,0,2,0,1,1,1,1185,5106,0,3
0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,783,1622,1,0
