gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group
0,0,0,0,1,0,0,2,0,2,2,2,2,1,1,0,898,4198,2
1,0,0,0,1,2,1,1,0,2,2,2,2,1,0,0,1445,6182,5
0,1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1173,1442,0
1,0,0,1,1,2,1,2,0,2,0,0,2,0,1,0,1193,4522,2
0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,36,152,0
1,0,0,0,0,1,0,2,2,2,2,2,0,2,0,0,437,4835,5
0,0,1,0,1,0,2,1,1,1,1,1,1,0,0,0,26,207,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,289,2534,1
0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,2,238,1988,1
1,0,1,1,1,2,0,2,2,0,2,0,2,2,1,1,823,5028,4
1,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1190,3448,1
1,0,1,0,1,2,1,0,0,0,0,2,2,0,1,2,1148,3887,2
0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,812,349,0
0,1,0,0,1,2,0,0,0,2,2,0,2,1,1,1,696,4508,3
0,0,0,0,1,2,1,0,2,0,0,2,2,0,1,2,1284,4340,2
1,0,0,1,1,0,1,2,2,2,0,0,2,1,0,2,1206,5422,4
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,24,1838,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,738,4109,2
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,704,286,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,295,412,0
1,0,1,0,1,0,0,2,2,0,2,2,2,2,1,0,886,5728,6
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,98,369,0
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,31,1915,2
0,0,0,0,1,2,1,0,0,2,2,2,2,2,1,1,1422,6416,6
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,303,1385,0
1,0,1,1,1,2,1,0,2,2,2,2,2,2,1,1,1453,6117,5
1,0,1,0,1,0,0,2,2,0,2,2,0,1,0,1,730,5117,5
1,0,0,0,1,0,1,0,2,2,0,0,0,0,1,2,895,2431,1
1,0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,71,3427,5
0,0,0,0,0,1,0,2,2,0,2,0,0,1,0,1,234,2595,2
0,0,1,0,1,2,1,1,2,0,0,0,2,0,1,0,1170,5570,4
0,0,0,0,1,2,1,0,1,0,0,2,2,0,1,2,1284,3011,1
0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,1,1085,3247,1
0,0,1,0,1,0,1,2,2,2,0,2,2,1,1,0,1396,5737,4
1,0,0,0,1,0,1,0,0,0,2,2,2,0,1,0,1205,2184,0
1,0,0,0,1,2,0,0,0,2,2,0,0,0,0,2,531,3324,2
0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,802,935,0
0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,229,2712,2
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,714,3448,2
1,1,0,0,1,0,2,1,1,1,1,1,1,1,0,1,15,1613,2
0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,2,1027,704,0
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,310,691,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,726,308,0
0,0,1,1,1,2,1,2,2,2,2,2,2,2,1,0,1551,6486,6
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,40,33,0
0,0,0,0,1,0,1,0,0,1,0,2,2,0,1,2,1182,2545,0
1,0,0,1,1,2,2,1,1,1,1,1,1,2,1,3,80,3088,5
0,0,1,1,1,2,1,2,2,2,2,2,2,2,0,0,1537,6470,5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,97,62,0
0,0,1,1,1,2,1,0,2,2,0,2,0,1,1,1,1201,5389,4
0,0,0,0,0,1,0,1,1,0,1,2,0,0,1,1,362,3634,3
1,0,1,0,1,0,1,0,2,2,0,0,0,0,1,2,899,4455,3
1,0,1,0,1,0,0,0,0,2,2,0,0,0,1,3,474,687,0
0,0,0,0,1,2,1,0,1,0,0,2,2,0,1,1,1245,5470,4
1,0,1,1,1,0,0,0,0,2,0,0,0,0,1,2,379,742,0
0,0,1,1,1,1,1,1,2,2,0,2,0,0,1,2,1289,5925,5
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,707,602,0
1,0,0,0,1,0,0,2,0,2,0,0,2,0,1,2,658,1761,0
0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,2,966,4218,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,91,888,0
1,0,1,0,1,2,1,0,0,2,0,2,2,1,0,1,1287,5688,4
0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,794,3908,2
1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,465,1491,0
1,0,1,1,1,0,2,1,1,1,1,1,1,0,1,2,38,1005,0
0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,1,1096,3882,2
0,0,1,1,1,0,1,0,0,0,0,0,2,0,1,2,920,3873,2
0,0,1,1,0,1,0,2,2,0,0,0,0,2,0,0,210,4014,5
0,0,0,1,1,2,1,2,0,2,2,0,0,2,1,1,1111,5802,5
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,297,356,0
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,890,386,0
1,0,0,0,1,2,1,1,0,2,0,2,2,1,1,1,1410,6189,5
0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,802,4663,3
0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,2,983,1415,0
0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,919,2938,1
0,0,1,0,0,1,0,2,2,2,2,2,2,2,0,0,637,5364,6
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,717,585,0
1,0,1,1,1,2,1,2,2,0,0,0,0,1,1,0,1004,5696,5
0,0,0,0,1,2,1,1,2,0,1,2,2,1,1,2,1460,5624,4
0,0,1,1,1,0,0,0,2,2,2,2,2,2,1,0,911,5376,5
0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1104,1006,0
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,135,716,0
0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,826,359,0
1,1,1,1,1,2,1,2,0,0,0,0,0,0,1,2,896,3589,2
1,1,0,0,1,0,1,0,0,0,0,0,2,0,1,2,874,2790,1
1,1,1,0,1,2,1,0,1,1,0,0,2,0,1,2,1195,4187,2
0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,2,890,2013,0
0,0,1,0,1,2,0,2,2,2,2,2,2,2,0,2,1094,5958,5
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,33,1339,1
0,0,0,0,1,2,1,0,2,2,0,2,2,1,1,1,1355,4586,2
1,0,1,0,1,2,1,2,2,0,2,0,0,0,1,1,1103,4308,2
1,1,1,0,0,1,0,2,2,0,0,2,2,2,0,1,489,4864,5
1,0,1,0,1,0,1,2,0,0,0,0,0,0,1,3,777,5276,5
0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,3,449,545,0
0,0,0,0,1,2,0,0,0,2,2,2,0,0,1,3,694,2628,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,328,164,0
1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,175,922,0
0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,161,1266,1
0,0,1,0,1,0,1,2,2,2,0,2,2,1,1,0,1363,4988,3
0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,2,762,1184,0
1,1,1,0,1,0,0,2,2,2,2,2,2,1,1,0,974,5539,5
0,0,1,1,1,0,1,2,0,0,1,2,0,0,0,2,1151,3306,1
0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,806,347,0
0,0,0,0,1,2,1,1,1,0,0,2,2,0,0,0,1401,4934,3
0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,896,817,0
1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,890,386,0
1,1,0,0,1,2,1,0,2,2,2,2,2,0,1,2,1493,2737,0
0,1,1,0,1,2,1,2,2,2,0,2,2,0,0,0,1444,5570,4
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,296,138,0
0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,2,908,1620,0
1,0,1,1,1,0,2,1,1,1,1,1,1,1,0,0,25,1254,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,716,298,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,87,54,0
0,0,0,0,1,1,1,1,1,0,0,2,0,0,1,2,1213,5524,4
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,880,1180,0
1,0,0,0,1,2,1,0,0,0,2,0,0,0,1,2,909,3778,2
1,0,1,0,1,2,0,2,2,2,2,2,0,1,0,0,887,5616,5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,94,59,0
0,0,0,0,1,2,1,0,2,2,0,2,2,0,1,0,1359,5807,4
1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,2,565,255,0
0,0,0,0,1,0,1,1,0,0,1,2,2,0,0,1,1282,2192,0
1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,709,291,0
1,0,0,0,1,2,1,1,0,0,0,2,2,0,1,0,1312,3930,1
0,0,1,1,1,0,0,2,0,2,2,2,2,2,1,1,939,5838,5
1,1,1,1,1,2,1,2,2,0,0,0,2,0,1,2,1152,5738,5
0,1,0,0,1,2,1,2,2,2,0,2,2,1,1,2,1437,4749,2
0,0,1,0,1,0,1,2,0,0,0,2,2,0,0,1,1175,4146,2
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,29,1792,2
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,696,280,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,296,138,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,322,405,0
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,51,2038,2
0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,804,884,0
0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,2,971,3623,1
1,0,1,1,1,2,0,0,0,0,2,0,0,1,1,3,460,3172,2
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,725,1457,0
0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,2,1014,437,0
0,0,0,1,1,2,0,2,0,2,2,0,2,1,0,1,777,1962,0
0,1,0,0,1,2,1,1,2,0,0,2,2,0,0,3,1332,4163,2
1,0,0,0,1,2,1,0,0,2,0,0,0,0,0,1,899,5022,4
0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,364,1822,1
0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,2,790,2284,1
0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,34,27,0
0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,900,393,0
1,0,0,0,1,2,1,0,0,0,2,2,2,0,1,3,1279,2672,1
0,0,0,0,1,1,1,0,0,0,0,2,2,0,1,2,1190,1122,0
0,0,1,0,1,2,1,0,2,2,0,2,0,0,0,0,1179,5413,4
0,1,1,0,1,2,1,0,2,2,0,2,0,1,1,1,1240,5806,5
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,8,547,0
1,0,0,1,1,0,1,0,2,2,0,2,0,0,1,2,1080,3711,1
0,1,1,0,1,2,1,2,0,0,0,0,2,0,1,2,1109,6025,5
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,32,1279,1
0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,477,231,0
1,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,46,252,0
0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,149,77,0
0,0,1,1,1,0,0,2,0,0,0,0,0,2,1,0,389,4488,5
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,707,289,0
1,0,1,1,1,2,0,0,0,0,2,2,2,1,1,0,775,4165,2
1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,401,205,0
0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,141,850,0
0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,790,1230,0
1,0,1,1,1,2,1,0,0,2,2,2,0,2,1,0,1185,4694,3
0,0,1,0,1,2,0,0,0,0,2,2,0,1,1,0,624,4297,3
0,1,1,0,1,2,1,0,0,0,0,0,2,0,1,2,985,1872,0
1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,380,541,0
0,0,0,0,0,1,0,0,0,2,0,2,2,0,1,0,357,3767,3
1,1,0,0,1,1,1,0,2,0,0,0,0,0,1,2,898,2790,1
1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,0,30,1615,2
0,0,0,0,1,2,1,0,0,0,0,2,2,0,1,0,1181,2490,0
1,1,1,1,1,0,1,0,0,0,0,2,0,0,1,1,908,1770,0
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,897,777,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,82,51,0
1,0,0,0,1,2,1,2,2,2,0,2,2,2,1,1,1469,6320,5
0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,307,3270,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,322,161,0
0,0,0,0,1,2,1,2,2,0,2,2,2,1,0,2,1475,5617,4
1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,435,2543,1
1,0,0,0,1,2,1,2,0,2,0,2,2,0,0,3,1351,3865,1
1,1,1,0,1,0,2,1,1,1,1,1,1,0,1,3,54,856,0
0,1,0,0,1,2,1,0,0,2,0,0,2,0,1,0,1084,5620,5
0,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1199,5281,4
0,0,1,0,1,2,0,2,0,0,0,2,0,0,1,0,621,2381,1
1,1,0,0,1,2,1,0,0,2,0,2,2,0,1,2,1269,2762,1
0,0,0,0,1,2,1,0,0,0,1,2,2,0,1,2,1279,2673,1
0,0,0,0,1,2,1,2,0,0,0,2,2,0,1,0,1319,3921,1
0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,2,472,4435,4
0,0,1,0,1,0,2,1,1,1,1,1,1,1,0,3,15,1782,2
0,0,1,0,1,2,1,0,0,2,0,2,2,0,1,2,1262,2541,0
0,0,1,1,0,1,0,0,2,2,2,0,2,2,0,2,373,4481,5
1,0,1,1,1,0,0,0,2,2,0,2,2,2,1,0,814,5595,6
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,313,496,0
0,0,1,1,1,2,0,2,0,2,2,2,2,2,1,0,960,5856,6
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,296,903,0
1,1,1,0,1,2,1,0,0,0,2,2,2,0,1,2,1309,4303,2
0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,1,1155,3296,1
0,0,1,0,1,2,1,0,2,2,2,2,2,1,1,2,1468,6359,5
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,363,524,0
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,18,1312,1
0,0,0,0,1,2,1,1,2,2,0,2,2,0,0,2,1443,4669,2
1,0,0,0,1,2,1,0,0,1,0,2,2,0,1,0,1258,4771,3
1,0,1,1,1,0,0,2,0,0,2,0,0,2,0,0,451,4091,3
0,0,0,0,1,2,0,2,0,2,2,0,2,0,1,0,799,4409,3
0,0,0,0,1,0,0,2,1,1,1,0,1,0,0,1,785,4458,3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,309,1618,1
1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,909,1522,0
0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,905,1952,0
0,0,0,0,1,0,1,0,0,2,0,0,2,0,1,1,952,1190,0
0,0,1,0,1,0,1,2,2,0,0,2,0,0,0,2,1099,817,0
0,0,1,1,1,0,1,0,2,0,0,0,0,0,1,0,777,653,0
0,0,0,0,0,1,0,0,2,0,0,2,2,0,0,2,404,497,0
1,0,0,0,0,1,0,2,0,2,2,2,2,2,1,1,566,5095,6
1,0,1,0,1,0,0,0,2,2,2,2,0,1,1,2,733,4503,3
1,0,0,1,1,2,1,2,0,2,0,2,2,2,0,0,1408,6309,5
1,1,0,0,1,2,1,2,0,2,2,2,2,2,1,2,1450,6235,5
1,0,0,1,1,2,0,2,2,0,0,0,2,0,1,2,696,2598,1
1,0,1,1,1,0,1,0,0,0,0,2,0,0,1,0,889,2265,0
1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,387,4509,5
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,887,1211,0
1,0,1,0,1,2,1,2,2,2,0,2,2,1,1,2,1460,6417,5
0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,1,1090,3127,1
0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,2,994,2185,0
1,0,1,1,1,2,0,0,0,0,2,0,0,0,1,3,472,1028,0
0,0,1,1,1,2,0,2,2,2,2,2,0,0,0,3,925,4657,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,709,3445,2
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,21,1949,2
0,1,1,1,1,2,1,2,2,0,2,2,2,0,1,2,1472,5387,3
1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,2,903,784,0
0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,3,641,610,0
1,1,1,0,0,1,0,0,2,2,0,0,2,0,1,2,311,4152,4
1,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,34,27,0
0,1,1,1,1,2,1,0,0,0,0,2,0,0,0,0,1001,3683,1
1,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,992,4068,2
1,0,1,1,1,2,1,2,2,2,2,2,2,1,1,0,1522,5534,3
0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,1006,2195,0
1,0,1,0,0,1,0,0,0,2,0,2,0,1,1,1,217,2423,2
0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,547,2718,1
0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,893,1772,0
0,1,0,0,1,2,1,0,2,0,0,2,0,0,1,2,1075,3909,2
1,0,1,0,1,0,1,0,0,2,0,2,2,1,1,2,1203,4378,2
0,0,1,1,1,0,0,2,0,2,2,2,2,2,1,3,919,4654,3
0,0,1,0,0,1,0,2,0,2,2,0,2,0,1,0,374,4227,4
1,0,1,0,1,2,1,2,2,2,0,2,2,0,1,0,1494,5532,4
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,816,1266,0
0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,979,1049,0
1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,2,806,1850,0
0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,2,1199,770,0
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,29,84,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,708,290,0
0,0,1,0,1,2,0,2,2,0,2,0,0,0,1,1,654,4199,3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,311,152,0
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,1,29,2600,4
0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,802,1680,0
1,0,1,0,1,0,1,0,0,2,0,2,2,0,1,2,1180,6121,6
0,0,0,0,1,0,0,2,2,0,0,2,2,0,1,2,799,1979,0
1,1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1196,4619,2
0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,378,191,0
1,0,1,0,1,2,1,2,2,2,2,2,2,2,1,1,1571,6526,6
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,307,148,0
0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,2,1016,2838,1
1,0,1,1,1,0,1,2,2,0,2,2,2,2,0,0,1384,6365,6
1,1,1,0,1,2,1,2,2,2,2,2,2,2,1,3,1535,6501,6
0,0,1,0,1,2,1,0,2,2,1,2,2,0,1,1,1462,3920,1
0,0,0,0,1,2,1,0,2,0,0,2,2,0,0,2,1334,2179,0
0,0,1,0,1,2,2,1,1,1,1,1,1,2,0,2,97,2629,3
0,0,0,1,1,2,0,0,2,0,0,0,0,0,1,3,890,4179,2
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,76,48,0
1,0,0,0,1,2,0,0,0,2,0,2,2,0,0,0,801,2182,1
0,0,0,1,0,1,0,0,2,0,2,2,0,2,0,3,310,4311,5
1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,217,103,0
0,0,0,0,1,2,1,0,0,2,2,2,2,1,1,1,1393,5071,3
0,0,1,0,1,0,0,0,0,2,0,2,2,0,0,1,694,664,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,98,63,0
0,1,0,0,1,0,1,0,0,2,0,2,2,0,1,2,1223,2816,1
0,0,1,0,1,2,1,0,0,2,0,0,2,0,0,3,1085,3486,1
0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,2,962,3631,1
0,0,0,1,1,0,2,1,1,1,1,1,1,1,0,1,31,1777,2
0,1,0,0,1,2,1,0,0,2,2,2,2,1,1,1,1349,4998,3
0,0,1,1,1,0,0,0,2,2,0,0,0,0,1,3,469,1705,0
1,0,1,0,1,2,2,1,1,1,1,1,1,2,0,1,104,3512,5
1,1,1,0,1,2,1,2,0,2,0,2,2,2,1,1,1375,5469,4
1,1,1,1,1,2,1,0,2,2,2,2,2,1,1,2,1439,6226,5
0,0,0,0,1,0,0,1,2,0,0,1,1,0,1,2,791,1973,0
0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,3,481,2365,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,420,842,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,300,665,0
1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,361,499,0
0,1,1,0,1,2,1,2,2,2,2,0,0,2,1,1,1214,6125,5
0,1,0,0,1,0,1,2,0,0,0,2,0,0,1,1,1010,3844,2
1,0,1,1,0,1,0,2,2,2,2,2,2,2,1,0,640,5220,6
0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,1256,3991,2
1,1,0,1,1,0,0,0,0,2,0,0,0,0,1,3,379,192,0
1,1,0,0,1,2,1,0,0,0,0,0,2,0,1,1,982,2022,0
1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,811,4359,3
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,300,142,0
1,0,1,1,1,2,1,2,0,2,0,0,0,0,1,2,984,1504,0
1,0,1,0,0,1,0,2,0,2,0,2,2,1,0,1,423,3657,2
0,0,0,0,1,0,1,1,0,0,1,2,2,0,1,0,1276,2657,0
0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,894,720,0
0,0,1,0,1,2,0,2,0,0,2,0,0,1,0,0,510,4883,5
0,1,1,0,1,2,1,2,0,0,0,0,0,0,1,2,851,4787,4
1,0,1,0,1,2,1,2,0,0,0,2,2,0,1,2,1268,3462,1
1,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,28,879,0
1,0,1,0,1,2,1,0,2,0,0,2,0,0,1,0,1129,5807,5
0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,803,870,0
0,0,0,1,1,2,1,0,2,0,2,2,2,2,1,2,1354,6214,5
1,0,1,0,1,0,0,2,0,0,2,0,0,0,0,3,430,2943,2
1,1,1,0,1,2,1,0,0,0,0,0,2,0,1,2,976,4366,3
0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,709,3193,1
1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,746,322,0
0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,461,223,0
1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,196,524,0
1,0,1,1,1,0,1,0,0,0,0,2,2,0,1,0,1083,800,0
1,1,1,0,1,0,0,0,0,2,2,0,2,0,1,1,615,1765,0
0,0,1,0,1,2,1,0,2,0,0,2,2,0,0,2,1271,5844,4
1,0,1,0,1,0,0,2,2,0,0,2,2,2,1,0,797,5000,4
1,0,0,0,0,1,0,0,2,0,0,2,0,0,1,2,230,3795,4
0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,480,741,0
1,0,0,0,1,0,1,0,0,2,2,2,0,0,1,3,1089,984,0
1,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,152,2376,2
0,0,0,0,1,2,1,0,1,2,0,2,2,0,1,0,1332,5818,4
1,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,28,1419,1
0,0,0,0,1,0,1,0,2,1,0,2,2,0,1,2,1271,3968,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,321,1465,0
